,baked,weight,speed,temperature,size,color,flavor,Y,predict
388,1,1,36,152,1,3,1,False,False
152,1,1,36,162,4,3,1,False,False
415,0,1,38,166,2,3,1,False,False
465,1,1,39,180,6,1,2,True,True
22,1,0,43,229,2,2,4,False,False
372,0,1,45,207,3,2,1,False,False
99,0,1,30,202,5,2,3,False,False
408,1,1,45,181,5,2,1,True,True
31,1,0,43,161,2,2,1,False,False
170,1,1,35,204,2,1,3,False,False
461,1,1,32,152,2,2,4,False,False
236,1,0,41,189,5,1,2,False,False
209,1,0,48,176,3,2,4,False,False
290,0,0,34,193,5,1,3,False,False
328,0,1,37,212,3,1,2,False,False
70,1,0,50,173,1,2,4,False,False
490,1,0,31,223,5,2,4,False,False
24,0,0,42,226,2,3,1,False,False
157,0,1,42,202,2,1,1,False,False
452,1,1,41,227,6,3,2,False,False
103,1,1,51,167,4,2,3,False,False
164,0,0,44,168,3,1,4,False,False
101,1,1,52,217,6,2,1,False,False
47,1,0,35,152,2,3,4,False,False
180,1,1,46,151,1,3,2,False,False
84,0,0,36,223,3,3,3,False,False
186,0,1,33,166,6,3,4,False,False
322,0,1,35,169,6,1,3,False,False
249,1,1,52,229,5,2,3,False,False
174,0,1,53,151,6,1,2,False,False
424,0,0,51,189,3,1,4,False,False
183,0,1,38,218,1,3,1,False,False
373,0,0,50,197,1,2,2,False,False
478,1,1,53,189,1,2,4,False,False
321,0,0,49,153,2,3,3,False,False
323,1,1,46,183,6,1,1,True,True
497,1,0,52,227,5,1,1,False,False
237,1,1,37,217,6,1,2,False,False
217,0,0,32,228,2,3,1,False,False
319,0,1,40,217,5,2,1,False,False
241,0,0,47,179,1,3,2,False,False
129,0,0,40,203,6,2,4,False,False
7,0,1,30,192,2,1,2,False,False
149,1,1,43,181,4,1,4,True,True
17,0,0,32,196,5,2,2,False,False
53,0,0,32,152,5,2,1,False,False
451,1,0,55,200,2,2,1,False,False
428,0,1,49,226,4,1,4,False,False
270,0,0,30,203,3,3,1,False,False
470,1,1,34,188,6,1,1,True,True
445,0,0,47,183,4,3,1,False,False
111,1,1,34,221,2,2,1,False,False
74,0,0,43,224,4,1,2,False,False
76,0,1,36,176,1,3,3,False,False
33,1,0,36,165,4,1,4,False,False
176,0,1,33,166,2,1,2,False,False
375,1,0,54,206,1,1,3,False,False
277,0,1,34,186,4,1,1,False,False
23,1,1,48,204,5,1,2,False,False
483,0,0,48,167,3,2,4,False,False
100,0,1,33,219,4,3,1,False,False
125,0,1,31,158,4,1,4,False,False
412,0,1,40,165,2,2,2,False,False
343,1,0,54,205,4,2,2,False,False
200,1,1,32,169,5,3,1,False,False
281,1,1,44,207,3,1,1,False,False
65,1,1,35,200,4,3,2,True,True
137,0,0,54,182,6,1,4,False,False
44,0,0,32,202,3,1,4,False,False
296,0,0,51,215,5,1,1,False,False
430,1,0,32,228,2,1,4,False,False
303,0,1,52,150,1,1,3,False,False
73,0,0,39,184,1,3,2,False,False
425,1,0,35,186,3,3,2,False,False
366,0,1,30,198,4,3,4,False,False
288,0,1,47,170,6,1,1,False,False
229,1,0,33,150,6,3,3,False,False
310,0,1,46,219,1,3,1,False,False
348,0,1,48,158,1,2,3,False,False
90,1,0,35,186,3,3,3,False,False
166,0,1,36,159,1,2,4,False,False
130,1,0,46,223,2,2,1,False,False
409,0,0,51,204,2,3,1,False,False
318,0,1,48,199,3,2,2,False,False
82,0,1,33,163,4,1,3,False,False
472,1,1,55,225,3,2,3,False,False
115,0,1,37,191,4,3,1,False,False
57,0,1,31,180,5,3,2,False,False
248,1,0,30,155,1,1,1,False,False
212,0,1,36,154,1,3,3,False,False
171,1,0,39,174,6,3,3,False,False
376,0,0,30,225,6,3,4,False,False
